包厢开台分析2025-12-01 10:00:00至2025-12-03 10:00:00(空境·派对KTV（万象城店）),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包厢名称,包厢类型,区域名称,开台单号,开房计费模式,开房时间,关房时间,清洁时间,营业日,订房人,订房人部门,返房人,轮房人,商秘/外联,消费时长,时段,开房标签,预订渠道,账单备注,账单合计,应收金额,实收金额,赠送,抹零金额,调整金额,挂账金额,免单金额,房费折扣金额,酒水折扣金额,基本业绩,低消费,低消差额,计入低消金额,不计入低消金额,特饮金额,销售经理,营销经理,支付方式,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信支付,支付宝,会员支付,会员本金,会员赠送,现金,银行卡,服务员收款,员工信用扣款,付呗,店长签单,演绎提成,营销提成,过期取酒,美团,抖音,招待,扫码,会员停用,三倍储值活动,定金消费,高德
K10,电音大包,KTV区,Z-KT25120100038,会员酒套599/799/1399/2399,2025-12-01 21:43:35,2025-12-02 04:34:06,2025-12-02 03:21:16,2025-12-01,,,,,,410,黄金档,,,换[虚拟中包]->[K10],799,799,799,264,0,0,0,0,0,0,799,0,0,799,0,0,,,,,,,,0,,799,,,,,,,,,,,,,,
K08,电音中包,KTV区,Z-KT25120100043,线上午夜档5H纯唱（23:00—04:30）,2025-12-01 23:33:03,2025-12-02 04:34:03,,2025-12-01,,,,,,301,黄金档,,,,141,141,141,0,0,0,0,0,0,0,141,0,0,0,0,0,,,,8,,,,,,,,,,,,,133,,,,,,,
K11,电音小包,KTV区,Z-KT25120100042,线上午夜档5H纯唱（23:00—04:30）,2025-12-01 23:15:08,2025-12-02 04:34:09,,2025-12-01,,,,,,319,黄金档,,,,133,133,133,66,0,0,0,0,0,0,133,0,0,0,0,0,,,,,,,,0,,,,,,,,,133,,,,,,,
K19,电音大包,KTV区,Z-KT25120100041,,2025-12-01 23:03:15,2025-12-02 04:34:28,2025-12-02 02:58:35,2025-12-01,,,,,,331,黄金档,,,,762,762,0,89,0,0,0,0,0,0,0,0,0,499,0,0,,,,,762,762,0,0,,,,,,,,,0,,,,,,,
JJJ,派对包,派对包,Z-KT25120100040,会员酒套599/799/1399/2399,2025-12-01 22:30:52,2025-12-02 04:34:34,2025-12-02 02:58:32,2025-12-01,,,,,,363,黄金档,,,换[K18]->[JJJ],2666,2666,1078,0,0,0,0,0,0,0,0,0,0,599,0,0,,,,,1088,1088,0,,,1078,,,500,,,,,,,,,,,
K01,电音中包,KTV区,Z-KT25120100039,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 21:58:34,2025-12-02 04:33:54,2025-12-02 01:30:49,2025-12-01,,,,,,395,黄金档,,,,888,888,888,0,0,0,0,0,0,0,888,0,0,30,0,0,,,675,,,,,,,,,,,,,,213,,,,,,,
K13,电音大包,KTV区,Z-KT25120100036,会员酒套599/799/1399/2399,2025-12-01 21:33:02,2025-12-02 04:34:13,2025-12-02 03:04:50,2025-12-01,,,,,,421,黄金档,,,,1468,1468,0,0,0,0,0,0,0,0,0,0,0,1447,0,0,,,,,1468,1468,0,,,,,,,,,,,,,,,,,
K16,电音大包,KTV区,Z-KT25120100037,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 21:34:40,2025-12-02 01:39:14,2025-12-02 01:54:26,2025-12-01,,,,,,244,黄金档,,,,953,953,773,0,0,0,0,0,0,0,773,0,0,0,0,0,,,560,,,,,,,,,,180,,,,213,,,,,,,
K20,电音小包,KTV区,Z-KT25120100035,线上黄金档3H纯唱（18:00—04:30）,2025-12-01 21:20:56,2025-12-02 04:34:31,2025-12-02 00:52:47,2025-12-01,,,,,,433,黄金档,,,,183,183,183,0,0,0,0,0,0,0,183,0,0,30,0,0,,,,,,,,,,,,,,,,,183,,,,,,,
K03,电音中包,KTV区,Z-KT25120100032,,2025-12-01 21:04:15,2025-12-02 04:34:00,2025-12-02 02:35:02,2025-12-01,,,,,,449,黄金档,,,,280,280,51,56,0,0,0,0,0,0,51,0,0,30,0,0,,,,,229,229,0,0,,51,,,,,,,,,,,,,,
